phase1_rank,folder_name,category,selection_status,selected_path,selection_note
1,202212. k-water 데이터허브플랫폼_ISP,rfp,selected,"W:\01. 국내사업폴더\202212. k-water 데이터허브플랫폼_ISP\0. RFP\5. 제안요청서(K-water形 고유플렛폼 구축 전략계획 수립 용역).hwp","RFP 원본 후보 중 대표성 가장 높음"
1,202212. k-water 데이터허브플랫폼_ISP,proposal,selected,"W:\01. 국내사업폴더\202212. k-water 데이터허브플랫폼_ISP\★ 제안서\Ⅱ. 정성평가 항목_ver.1.0.pptx","★ 제안서 폴더 내 최신 제안 본문 후보"
1,202212. k-water 데이터허브플랫폼_ISP,kickoff,selected,"W:\01. 국내사업폴더\202212. k-water 데이터허브플랫폼_ISP\★ 발표자료\1. 착수보고.pptx","착수 성격이 가장 명확한 파일"
1,202212. k-water 데이터허브플랫폼_ISP,final_report,selected,"W:\01. 국내사업폴더\202212. k-water 데이터허브플랫폼_ISP\★ 산출물\IV. 목표모델 수립_전략및 비전v0.62.pptx","산출물 폴더 최신 후보 중 대표 장표"
1,202212. k-water 데이터허브플랫폼_ISP,presentation,selected,"W:\01. 국내사업폴더\202212. k-water 데이터허브플랫폼_ISP\★ 발표자료\K-water형 고유플랫폼_구축_전략계획_종료보고_v0.66.pptx","최종 발표자료 성격이 명확함"
2,202603. AX기반의 차세대 업무 시스템 구축을 위한 ISMP,rfp,selected,"W:\01. 국내사업폴더\202603. AX기반의 차세대 업무 시스템 구축을 위한 ISMP\00. RFP\1. 제안요청서.hwpx","원본 RFP 파일"
2,202603. AX기반의 차세대 업무 시스템 구축을 위한 ISMP,proposal,selected,"W:\01. 국내사업폴더\202603. AX기반의 차세대 업무 시스템 구축을 위한 ISMP\01. 제안서\2. 취합\최종 취합\AX기반 차세대업무시스템 구축 ISMP_정성적 제안서.pdf","최종 취합 제안서 PDF"
2,202603. AX기반의 차세대 업무 시스템 구축을 위한 ISMP,kickoff,manual_review,,"사업수행 폴더에서 착수보고 명시 파일 미확인"
2,202603. AX기반의 차세대 업무 시스템 구축을 위한 ISMP,final_report,manual_review,,"현재 사업 진행 중으로 최종 산출물 후보 불명확"
2,202603. AX기반의 차세대 업무 시스템 구축을 위한 ISMP,presentation,selected,"W:\01. 국내사업폴더\202603. AX기반의 차세대 업무 시스템 구축을 위한 ISMP\01. 제안서\3. 발표자료\AX 기반의 차세대 업무시스템 구축을 위한 ISMP_1.0(발표용).pdf","발표용 최종본 후보"
3,142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP,rfp,selected,"W:\01. 국내사업폴더\142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP\00. RFP\20200208600-00_1580981477748_제안요청서 1부_차세대 보건의료빅데이터개방시스템 구축을 위한 ISP 수립 용역.pdf","제안요청서 원본"
3,142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP,proposal,selected,"W:\01. 국내사업폴더\142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP\★ 제안서\Ⅰ. 일반현황_ver_1.0.pptx","★ 제안서 폴더 대표 본문 파일"
3,142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP,kickoff,selected,"W:\01. 국내사업폴더\142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP\★ 발표자료\2. 착수보고 발표자료.pptx","착수보고 대표 파일"
3,142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP,final_report,selected,"W:\01. 국내사업폴더\142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP\★ 산출물\Ⅴ. 이행계획 수립_v0.7 (p.178).pptx","최종 산출물 대표 장표"
3,142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP,presentation,selected,"W:\01. 국내사업폴더\142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP\★ 발표자료\4. 최종보고 발표자료.pptx","최종 보고 발표자료"
4,61. 농정원 AGRIX,rfp,selected,"W:\01. 국내사업폴더\61. 농정원 AGRIX\붙임1_2017년 농업경영체 지원사업 통합관리 시스템 구축사업 제안요청서_170406.hwp","루트 직하 RFP 원본"
4,61. 농정원 AGRIX,proposal,selected,"W:\01. 국내사업폴더\61. 농정원 AGRIX\Ⅰ.일반현황_위즐리_v0.2.pptx","루트 직하 제안 본문 대표 파일"
4,61. 농정원 AGRIX,kickoff,selected,"W:\01. 국내사업폴더\61. 농정원 AGRIX\★ 발표자료\2. 착수보고.pptx","착수보고 대표 파일"
4,61. 농정원 AGRIX,final_report,selected,"W:\01. 국내사업폴더\61. 농정원 AGRIX\★ 산출물\요약자료_최종산출물_v0.9.pptx","최종 산출물 요약본"
4,61. 농정원 AGRIX,presentation,selected,"W:\01. 국내사업폴더\61. 농정원 AGRIX\★ 발표자료\1. 제안 발표자료.pptx","제안 발표자료 대표 파일"
5,72. LH 스마트시티플랫폼,rfp,selected,"W:\01. 국내사업폴더\72. LH 스마트시티플랫폼\등록3_제안요청서.hwp","루트 직하 제안요청서"
5,72. LH 스마트시티플랫폼,proposal,selected,"W:\01. 국내사업폴더\72. LH 스마트시티플랫폼\★ 제안서\III.사업수행부문_원본_v1.0(37p).pptx","제안 본문 대표 파일"
5,72. LH 스마트시티플랫폼,kickoff,selected,"W:\01. 국내사업폴더\72. LH 스마트시티플랫폼\02. 착수계\02. 착수계\Final\붙임 서류\[붙임 1] 정보화사업 착수계_20180111.pdf","착수계 Final 폴더의 대표 착수 문서"
5,72. LH 스마트시티플랫폼,final_report,selected,"W:\01. 국내사업폴더\72. LH 스마트시티플랫폼\★ 산출물\LH_스마트시티_II.환경분석_종합_v1.5_20180824.pptx","산출물 대표 파일"
5,72. LH 스마트시티플랫폼,presentation,selected,"W:\01. 국내사업폴더\72. LH 스마트시티플랫폼\★ 발표자료\0. 제안 발표.pptx","발표자료 대표 파일"
